service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
36238,1,1,1,1,1,0,0,20131221,20140323
38253,1,1,1,1,1,1,1,20131221,20140323
38742,1,1,1,1,1,0,0,20131221,20140323
38754,1,1,1,1,1,0,0,20131221,20140323
38824,0,0,0,0,0,1,0,20131221,20140323
38827,0,0,0,0,0,0,1,20131221,20140323
38832,0,0,0,0,0,1,0,20131221,20140323
38835,0,0,0,0,0,0,1,20131221,20140323
38881,1,1,1,1,1,0,0,20131221,20140323
36479,1,1,1,1,1,0,0,20131221,20140323
38501,0,0,0,0,0,1,0,20131221,20140323
38504,0,0,0,0,0,0,1,20131221,20140323
40064,1,1,1,1,1,0,0,20131221,20140323
40074,1,1,1,1,1,1,1,20131221,20140323
16233,0,0,0,0,0,0,1,20131221,20140323
16092,1,1,1,1,1,0,0,20131221,20140323
36489,0,0,0,0,0,1,0,20131221,20140323
39389,0,0,0,0,0,0,1,20131221,20140323
38274,1,1,1,1,1,1,1,20131221,20140323
40622,1,1,1,1,1,1,1,20131221,20140323
40450,1,1,1,1,0,0,0,20131221,20140323
26949,0,0,0,0,0,0,1,20131221,20140323
26656,1,1,1,1,1,0,0,20131221,20140323
14741,1,1,1,1,1,0,0,20131221,20140323
36384,0,0,0,0,0,1,0,20131221,20140323
28960,0,0,0,0,0,0,1,20131221,20140323
16203,0,0,0,0,0,1,0,20131221,20140323
41883,0,0,0,0,1,1,0,20131221,20140323
41882,1,1,1,1,0,0,0,20131221,20140323
41987,1,1,1,0,0,0,0,20131221,20140323
41886,0,0,0,0,0,0,1,20131221,20140323
41996,0,0,0,0,1,1,0,20131221,20140323
41998,0,0,0,0,0,0,1,20131221,20140323
41989,0,0,0,1,0,0,0,20131221,20140323
41994,0,0,0,1,0,0,0,20131221,20140323
42138,0,0,0,0,1,1,0,20131221,20140323
42083,0,0,0,0,1,0,0,20131221,20140323
42085,0,0,0,0,0,1,0,20131221,20140323
